Genotype,Genotype_label,n,median_TM_M,mean_TM_M,q025_TM_M,q975_TM_M,min_TM_M,max_TM_M
KRAS_G12D,KRAS G12D,48,16742461.2269536,21249501.6706204,5232218.01300583,55698679.4938242,2298244.89390291,78573700.5491049
BRAF_V600E,BRAF V600E,28,3324568.66167228,4430320.3789583,337527.644452444,13368493.3686007,49905.9067434137,23532238.664008
EGFR_L858R,EGFR L858R,18,1463702.54124357,2824254.89252071,38430.832520494,13525938.9401732,29949.2559209446,16506657.4035334
KRAS_G12C,KRAS G12C,29,1612100.81347245,2729789.08572738,682653.744323547,12640779.0564092,623248.426845155,19022201.6091912
