test,variant_1,variant_1_label,variant_2,variant_2_label,statistic,p_value,p_adj_holm,p_adjust_method
Pairwise Wilcoxon rank-sum test,KRAS_G12D,KRAS G12D,BRAF_V600E,BRAF V600E,1272.5,1.03588015147009e-10,5.17940075735045e-10,Holm
Pairwise Wilcoxon rank-sum test,KRAS_G12D,KRAS G12D,KRAS_G12C,KRAS G12C,1351.5,5.72136382569367e-12,3.4328182954162e-11,Holm
Pairwise Wilcoxon rank-sum test,KRAS_G12D,KRAS G12D,EGFR_L858R,EGFR L858R,830.5,9.99194258131758e-09,3.99677703252703e-08,Holm
Pairwise Wilcoxon rank-sum test,BRAF_V600E,BRAF V600E,KRAS_G12C,KRAS G12C,593,0.00290909862269566,0.00872729586808699,Holm
Pairwise Wilcoxon rank-sum test,BRAF_V600E,BRAF V600E,EGFR_L858R,EGFR L858R,370.5,0.00790633651225607,0.0158126730245121,Holm
Pairwise Wilcoxon rank-sum test,KRAS_G12C,KRAS G12C,EGFR_L858R,EGFR L858R,301,0.387308341543729,0.387308341543729,Holm
