TSG,RelativeTumor_95,CI_low_tumor,CI_high_tumor,Variants
PTEN, 2.349832853120612, 1.5788944491811736, 3.459821659549803,BRAF_V600E
STK11, 0.8465633414920279, 0.6755378578778941, 1.301202014671071,BRAF_V600E
NF1, 1.219949734222841, 0.8109441244396595, 1.496295739486245,BRAF_V600E
SETD2, 1.5124623450115728, 1.1074847412598352, 2.6164249902622636,BRAF_V600E
STAG2, 1.4333389823162959, 1.1561289550746618, 1.8751119664247202,BRAF_V600E
TSC1, 0.7401509688452967, 0.5390634995155307, 1.0272303191137582,BRAF_V600E
RB1, 1.246453840827562, 0.8649554148874512, 1.4488253766831858,BRAF_V600E
FBXW7, 2.191293826730527,, 2.644693941103961,BRAF_V600E
RNF43, 2.4268244767209324, 1.8156235624992347, 3.811166291306884,BRAF_V600E
RBM10, 1.2735337643263798, 1.0383289454845515, 1.5288036213104073,BRAF_V600E
MGA, 1.1686202562659074, 0.8743007552640013, 1.5788944491811736,BRAF_V600E
KEAP1, 1.3583549005392228, 0.9840095252215958, 1.9999999999999993,BRAF_V600E
KMT2D, 1.0495474860605885, 0.6198871570618747, 1.5453214555989037,BRAF_V600E
SMAD4, 1.0272303191137582, 0.6902143047006197, 1.3294713735992811,BRAF_V600E
CMTR2, 1.301202014671071, 0.6198871570618747, 1.5453214555989037,BRAF_V600E
TP53, 1.2331305818276599, 0.7852167158904793, 1.5959534857422246,BRAF_V600E
CDKN2A,1.206909776, 0.7128289855195113, 1.9365494914536625,BRAF_V600E
NF2, 0.8197059042248506, 0.6902143047006204, 1.0608872364451387,BRAF_V600E
APC, 1.4333389823162959, 1.072349506239713, 1.978622138159474,BRAF_V600E
PTPRD, 1.095646913365264,, 1.2331305818276599,BRAF_V600E
ATM, 0.8285623499465595, 0.6471145510708259, 1.083935619195303,BRAF_V600E
MSN2, 0.9527915728267212, 0.7441386770151901, 1.181246518704137,BRAF_V600E
ARID2, 1.3878659386426668, 0.8022759987133312, 1.978622138159474,BRAF_V600E
KDM6A, 0.9630859318222458, 0.8465633414920279, 1.181246518704137,BRAF_V600E
ATRX,0.932531786, 0.7768235886568906, 1.301202014671071,BRAF_V600E
BRCA2, 0.9426072495233678, 0.7052096057353325, 1.4028610232104928,BRAF_V600E
PALB2, 0.9426072495233678, 0.7768235886568906, 1.143771172538953,BRAF_V600E
