SAMPLE_ID	mutations	gistic	structural_variants
BGI-RS35	WXS	WXS	NA
BGI-RS34	WXS	WXS	NA
BGI-RS33	WXS	WXS	NA
BGI-RS32	WXS	WXS	NA
BGI-RS31	WXS	WXS	NA
BGI-RS30	WXS	WXS	NA
BGI-RS39	WXS	WXS	NA
BGI-RS38	WXS	WXS	NA
A025	WXS	WXS	NA
A027	WXS	WXS	WXS
A021	WXS	WXS	WXS
A188	WXS	WXS	WXS
A186	WXS	WXS	WXS
A187	WXS	WXS	WXS
A185	WXS	WXS	WXS
A182	WXS	WXS	WXS
A183	WXS	WXS	WXS
A364	WXS	WXS	NA
A368	WXS	WXS	NA
A165	WXS	WXS	WXS
A167	WXS	WXS	NA
BGI-WG09	WXS	WXS	NA
BGI-WG08	WXS	WXS	NA
A162	WXS	WXS	WXS
A163	WXS	WXS	WXS
BGI-WG05	WXS	WXS	NA
BGI-WG04	WXS	WXS	NA
BGI-WG07	WXS	WXS	NA
BGI-WG06	WXS	WXS	NA
BGI-WG01	WXS	WXS	NA
A200	WXS	WXS	WXS
BGI-WG03	WXS	WXS	NA
BGI-WG02	WXS	WXS	NA
BGI-RS19	WXS	WXS	NA
BGI-RS18	WXS	WXS	NA
BGI-RS15	WXS	WXS	NA
BGI-RS14	WXS	WXS	NA
BGI-RS17	WXS	WXS	NA
BGI-RS16	WXS	WXS	NA
BGI-RS11	WXS	WXS	NA
BGI-RS10	WXS	WXS	NA
BGI-RS13	WXS	WXS	NA
BGI-RS12	WXS	WXS	NA
A120	WXS	WXS	WXS
BGI-RS44	WXS	WXS	NA
A124	WXS	WXS	WXS
BGI-RS40	WXS	WXS	NA
A280	WXS	WXS	WXS
A380	WXS	WXS	WXS
A381	WXS	WXS	WXS
A143	WXS	WXS	WXS
A269	WXS	WXS	WXS
A268	WXS	WXS	WXS
A146	WXS	WXS	NA
A147	WXS	WXS	WXS
A144	WXS	WXS	WXS
A263	WXS	WXS	WXS
A262	WXS	WXS	WXS
A261	WXS	WXS	WXS
A260	WXS	WXS	WXS
A267	WXS	WXS	WXS
A266	WXS	WXS	WXS
A265	WXS	WXS	WXS
A264	WXS	WXS	WXS
BGI-WG18	WXS	WXS	NA
BGI-WG19	WXS	WXS	NA
A015	WXS	WXS	WXS
A016	WXS	WXS	NA
A017	WXS	WXS	NA
A012	WXS	WXS	NA
A316	WXS	WXS	WXS
A315	WXS	WXS	WXS
A310	WXS	WXS	WXS
A218	WXS	WXS	WXS
A490	WXS	WXS	WXS
A492	WXS	WXS	WXS
A493	WXS	WXS	WXS
A494	WXS	WXS	NA
A495	WXS	WXS	NA
A496	WXS	WXS	WXS
A497	WXS	WXS	NA
A499	WXS	WXS	WXS
A068	WXS	WXS	WXS
A063	WXS	WXS	WXS
A062	WXS	WXS	WXS
A066	WXS	WXS	WXS
A241	WXS	WXS	WXS
A240	WXS	WXS	WXS
A243	WXS	WXS	WXS
A534	WXS	WXS	WXS
A532	WXS	WXS	WXS
A247	WXS	WXS	WXS
A530	WXS	WXS	WXS
A249	WXS	WXS	WXS
A538	WXS	WXS	WXS
BGI-RS48	WXS	WXS	NA
BGI-RS49	WXS	WXS	NA
BGI-RS46	WXS	WXS	NA
BGI-RS47	WXS	WXS	NA
A122	WXS	WXS	WXS
BGI-RS45	WXS	WXS	NA
BGI-RS42	WXS	WXS	NA
A126	WXS	WXS	WXS
BGI-RS41	WXS	WXS	NA
